"fips"	"soy_yield13_ha"	"round_soy_yield13"
"IA005"	"0.47349251315256980979"	"2.97"
"IA005"	"0.50991501416430594901"	"1.84"
"IA005"	"1.35572642654795628867"	"3.12"
"IA005"	"1.38405503844597325512"	"3.32"
"IA005"	"2.08822339133953864833"	"2.83"
"IA005"	"2.97045730473492513152"	"1.98"
"IA005"	"3.60178065560501821126"	"1.81"
"IA005"	"4.43140428976123024962"	"3.78"
"IA005"	"5.99757183326588424957"	"1.91"
"IA005"	"6.66936462970457303934"	"2.39"
"IA005"	"6.79481991096721973047"	"3.88"
"IA005"	"8.30837717523269927296"	"3.75"
"IA005"	"8.52286523674625660429"	"3.07"
"IA005"	"9.50627276406313234909"	"2.56"
"IA005"	"16.14326183731282882759"	"2.32"
"IA005"	"20.29947389720760834714"	"2.25"
"IA005"	"25.25698097936058258269"	"2.63"
"IA005"	"25.98138405503844602949"	"3.38"
"IA005"	"27.88344799676244434502"	"1.67"
"IA005"	"28.98421691622824767499"	"2.15"
"IA005"	"29.62768110076891945176"	"3.99"
"IA005"	"35.21246458923512744816"	"3.89"
"IA005"	"38.14245244840145684076"	"3.21"
"IA005"	"39.38891137191420485633"	"2.80"
"IA005"	"67.27235936867664921930"	"2.08"
"IA005"	"68.74544718737353283668"	"2.49"
"IA005"	"81.29502225819506265713"	"1.57"
"IA005"	"92.30675839740995544480"	"3.24"
"IA005"	"118.79401052205584800022"	"2.22"
"IA005"	"143.44799676244435456176"	"3.14"
"IA005"	"166.22015378389316047755"	"2.73"
"IA005"	"179.09753136382031597645"	"2.66"
"IA005"	"217.69324160259004447285"	"3.41"
"IA005"	"334.41521651153379190906"	"3.65"
"IA005"	"365.30554431404289757768"	"3.72"
"IA005"	"365.78713071630918641458"	"3.55"
"IA005"	"369.89073249696479160811"	"3.95"
"IA005"	"1335.50384459732901749353"	"3.82"
"IA005"	"1450.56252529340347942590"	"3.31"
"IA005"	"2326.49129906920275349327"	"3.58"
"IA005"	"2704.52448401456899992345"	"3.48"
"IA005"	"23339.76932416025900449204"	""
"IA007"	"0.00000000000000000000"	"1.91"
"IA007"	"0.00000000000000000000"	"2.87"
"IA007"	"0.00000000000000000000"	"3.44"
"IA007"	"0.00404694455685957102"	"1.58"
"IA007"	"0.01214083367057871307"	"2.30"
"IA007"	"0.02428166734115742614"	"0.42"
"IA007"	"0.04451639012545528127"	"2.52"
"IA007"	"0.06475111290975313639"	"2.28"
"IA007"	"0.07284500202347227843"	"2.03"
"IA007"	"0.10926750303520841765"	"2.60"
"IA007"	"0.12950222581950627277"	"2.29"
"IA007"	"0.16997167138810198300"	"1.67"
"IA007"	"0.19830028328611898017"	"1.36"
"IA007"	"0.21044111695669769324"	"2.99"
"IA007"	"0.31566167543504653987"	"1.78"
"IA007"	"0.40874140024281667341"	"3.09"
"IA007"	"0.56252529340348037231"	"2.15"
"IA007"	"0.58276001618777822746"	"1.60"
"IA007"	"1.11695669769324160259"	"2.47"
"IA007"	"1.22622420072845002023"	"1.29"
"IA007"	"1.76446782679077296640"	"2.38"
"IA007"	"11.95062727640631312218"	"1.13"
"IA007"	"14.03885066774585191536"	"1.45"
"IA007"	"25.51598543099959524489"	"2.72"
"IA007"	"28.97207608255766902310"	"2.18"
"IA007"	"37.04168352893565353117"	"1.41"
"IA007"	"40.38445973290165918822"	"1.77"
"IA007"	"44.84823957911776609328"	"2.26"
"IA007"	"47.48280048563334693776"	"2.44"
"IA007"	"51.16552003237555646081"	"2.36"
"IA007"	"51.48118170781060291872"	"1.09"
"IA007"	"51.62282476730068785779"	"1.23"
"IA007"	"59.19465803318494555101"	"2.12"
"IA007"	"61.78470254957507097238"	"2.96"
"IA007"	"65.49575070821529752761"	"1.37"
"IA007"	"103.98624038850667731425"	"1.27"
